"pred_type","gene","gene_set","model_id","cor_pearson","nrmse_sd","js_div","mi","ssim","auc_0"
"test","AGO2","All Genes","ST-Net",0.134722521893024,1.32697495462957,0.636797211091825,0.0457167518646085,0.0698129981720404,0.623417811532377
"test","AGO2","All Genes","THItoGene",0.102790476612005,1.03839108255947,0.651132617262274,0.0521108748641389,0.0520354670697632,0.609408880676184
"test","AGO2","All Genes","iStar",0.0479425258150099,1.28541282931812,0.776705682585184,0.026806008270122,0.0639683137214546,0.549557651661119
"test","AGPAT2","All Genes","DeepPT",0.195899564205419,1.2120930177464,0.297021809423028,0.0642190679316507,0.16201406650826,0.602655515703667
"test","AGPAT2","All Genes","DeepSpaCE",0.00686966714267546,1.10501897085951,0.304055627978523,0.0347894978367361,0.0102155301326101,0.530792555168048
"test","AGPAT2","All Genes","GHIST",0.23943598904006,1.30159849813455,0.262116343626827,0.0627770753195423,0.214440439461198,0.61888927372505
"test","AGPAT2","All Genes","GeneCodeR",0.15448926015432,1.2304453971448,0.299262702924559,0.0499952735652078,0.0894407527066463,0.583201558070107
"test","AGPAT2","All Genes","HisToGene",0.125460908702534,1.09083758074605,0.260219616569503,0.0771945270159213,0.10813000170238,0.619058052436389
"test","AGPAT2","All Genes","Hist2ST",0.104916080560376,1.13910676557952,0.259561131882216,0.082528367066301,0.0848577206622345,0.603806812624056
"test","AGPAT2","All Genes","ST-Net",0.191434764578796,1.57370766257191,0.291301908262125,0.0668522197425815,0.142487737997104,0.605391785880864
"test","AGPAT2","All Genes","THItoGene",0.0615298158884238,1.1639128499011,0.263178846647923,0.0725004598974543,0.0499186344731401,0.567279562580094
"test","AGPAT2","All Genes","iStar",0.0583371302909483,1.77592168832848,0.434734159432682,0.044126179700344,0.0680847544161899,0.549231527748374
"test","AGPAT2","SVGs","DeepPT",0.171401276850686,1.17283798481954,0.266989544359739,0.059209948351256,0.160824114622505,0.598310427598459
